model,accuracy,precision,recall,f1_score,training_time_seconds
TF-IDF + Logistische Regression,0.88868,0.8862389697114238,0.89184,0.8890306631045894,0.7955146003514528
Neuronales Embedding-Modell,0.86824,0.890813380879606,0.83936,0.864321608040201,21.38587410002947
