embedding_dimension,accuracy,precision,recall,f1_score,training_time_seconds,completed_epochs,parameter_count,best_validation_loss,best_validation_accuracy
8,0.87152,0.8804062909567497,0.85984,0.8700016189088554,12.438735499978065,10,80161,0.28564342856407166,0.8845999836921692
16,0.87112,0.8814967105263158,0.85752,0.8693430656934307,13.672405799850821,9,160289,0.28427430987358093,0.8841999769210815
32,0.86956,0.8905232902189534,0.84272,0.8659624316659131,24.12836079997942,8,320545,0.28601402044296265,0.8870000243186951
64,0.86888,0.886893774123175,0.8456,0.8657547710705218,37.91695010010153,7,641057,0.2881726324558258,0.8844000101089478
